FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Super_Pop
1328	NA06984	0.02938308	0.2538315	-0.003428559	0.03264476	0.05683739	0.06372662	-0.03023842	-0.1067369	0.008213882	0.002857187	EUR
1328	NA06989	0.02408973	0.2578769	-0.01857389	0.03978122	0.05128611	0.05716334	-0.0371034	-0.1115987	0.004437012	0.006704149	EUR
1330	NA12340	0.02005769	0.2624037	0.0110784	0.0412078	0.04842467	0.06912278	-0.02965915	-0.1100669	0.006641399	0.008743077	EUR
1330	NA12341	0.01488394	0.2441818	-0.0003411011	0.03912551	0.04966604	0.06407378	-0.02313321	-0.1118855	-0.002201361	0.001176226	EUR
1330	NA12342	0.01604353	0.2687429	0.001920628	0.04346921	0.04977095	0.05864183	-0.02521319	-0.1181122	0.003411123	0.001222817	EUR
1334	NA12144	0.02224503	0.2620921	-0.009187146	0.03990082	0.04151956	0.05583178	-0.03634981	-0.09241742	0.007670509	0.003891309	EUR
1340	NA06994	0.01410398	0.2599646	-0.01164379	0.04564987	0.04801781	0.06178834	-0.03573696	-0.1055736	0.01308232	0.006288772	EUR
1340	NA07000	0.02896247	0.2611502	-0.005239916	0.04282534	0.06056146	0.05596781	-0.02442314	-0.1117641	0.003358009	0.006844467	EUR
1340	NA07056	0.01357441	0.2624184	-0.003940979	0.04479869	0.05998142	0.05865575	-0.03262321	-0.1081185	0.007516368	-0.008056689	EUR
1341	NA06985	0.02430702	0.2581344	0.004549935	0.03825568	0.0504563	0.06032786	-0.03710885	-0.1011518	-0.01457618	0.007515106	EUR
1344	NA12058	0.01737283	0.2568071	-0.002933356	0.05126143	0.05903004	0.06957427	-0.0281952	-0.1158563	-0.002595601	0.001474048	EUR
1345	NA07347	0.01549776	0.2614286	0.006067128	0.04359862	0.05623797	0.06874921	-0.03092168	-0.117485	-0.002160577	-0.005696059	EUR
1345	NA07357	0.02471104	0.2711099	-0.0009287353	0.03976899	0.05880633	0.04816518	-0.04282841	-0.1088048	0.004894494	0.005494454	EUR
1346	NA12043	0.02112013	0.2680525	-0.01122477	0.04640567	0.05629701	0.05685425	-0.03060895	-0.1143115	0.00446244	0.00471204	EUR
1346	NA12044	0.02313777	0.258405	-0.003881183	0.03639386	0.04933902	0.06156495	-0.03791539	-0.1021729	0.004580497	-0.002423986	EUR
1346	NA12045	0.02117481	0.2538719	0.0003351285	0.03603568	0.06507937	0.06595548	-0.03574316	-0.1150734	0.002924164	0.004162135	EUR
1346	NA12046	0.02341825	0.2529255	-0.0005519444	0.0436182	0.05483851	0.06314811	-0.02960567	-0.1098665	0.00262697	0.00260671	EUR
1347	NA11881	0.0235226	0.2473353	-0.007288394	0.03219017	0.05597726	0.06000618	-0.01791845	-0.105902	0.001350158	0.004437878	EUR
1349	NA11840	0.02203793	0.2452382	-0.003553624	0.03633596	0.06287299	0.07135692	-0.02449789	-0.1274293	0.008239655	0.01315317	EUR
1349	NA11843	0.01780554	0.2492279	0.002392154	0.04010149	0.05478604	0.0644158	-0.03110716	-0.1053623	-0.003879532	0.0001122285	EUR
1350	NA11829	0.02739542	0.2580217	0.001601442	0.04796631	0.04865321	0.06719359	-0.02036852	-0.1026234	0.01003958	-0.005791086	EUR
1350	NA11830	0.02158882	0.2561222	-0.008923299	0.0410213	0.05372066	0.06414579	-0.02650337	-0.1099332	0.007080059	0.008907657	EUR
1350	NA11831	0.02891171	0.2584907	-0.004220541	0.04258388	0.05872086	0.06689135	-0.02393204	-0.1093745	0.01002928	0.001532359	EUR
1350	NA11832	0.01869424	0.2642358	0.00404778	0.04452742	0.04780054	0.06605083	-0.03625368	-0.1077577	0.0005414211	-0.0004102518	EUR
1353	NA12383	0.02146978	0.2571131	-0.00272678	0.04050125	0.04322703	0.06559681	-0.01559722	-0.0992936	0.01009565	0.01050903	EUR
1353	NA12489	0.02195948	0.2662506	-0.006468336	0.04011531	0.05335578	0.06194227	-0.02826989	-0.1041697	0.006375599	0.004716744	EUR
1353	NA12546	0.0175762	0.2559488	0.004002098	0.05105345	0.04897003	0.05792478	-0.02564327	-0.09734452	0.00936494	-0.002733254	EUR
1354	NA12399	0.01656885	0.2624138	0.0002017468	0.04071582	0.05669425	0.05261881	-0.03431541	-0.111746	0.007197721	-0.001750289	EUR
1354	NA12400	0.02369438	0.2624039	-0.0002454041	0.03887656	0.06508379	0.06543313	-0.03068392	-0.1058787	0.003631972	0.006190498	EUR
1355	NA12413	0.0103165	0.2598379	0.0008741138	0.04443449	0.05507095	0.06855667	-0.01750314	-0.09675984	0.006403889	0.002545685	EUR
1355	NA12414	0.02286793	0.2586277	0.00615925	0.05256597	0.05026819	0.06171643	-0.02750806	-0.1115073	0.004641893	0.008879764	EUR
1358	NA12716	0.015638	0.254396	0.005909955	0.04969238	0.06367326	0.05552114	-0.03733451	-0.1089142	-0.00308487	-0.005069807	EUR
1358	NA12717	0.01362195	0.2578154	0.002410539	0.04437486	0.0526772	0.06056284	-0.02239743	-0.1035851	0.002779925	-0.00639047	EUR
1358	NA12718	0.02615045	0.2636072	0.001132171	0.04694829	0.05952118	0.05869667	-0.03578056	-0.1078567	0.0005238432	-0.01003054	EUR
1362	NA11992	0.01478916	0.2641986	0.007151323	0.03236344	0.04661593	0.06060724	-0.01630377	-0.1064768	-0.0004963672	-0.001483901	EUR
1362	NA11994	0.02038696	0.2474819	0.002105964	0.03352357	0.05827557	0.05529866	-0.02745091	-0.1030099	-0.004203546	0.004443398	EUR
1362	NA11995	0.01586207	0.2721367	0.005327994	0.0326642	0.05677433	0.06957974	-0.02423096	-0.1183696	-0.003566047	0.01080441	EUR
1375	NA12234	0.03009742	0.2547453	-0.007695643	0.04393181	0.05426293	0.05674367	-0.01876828	-0.1085678	-0.0002179862	0.001331452	EUR
1377	NA11892	0.02706794	0.2656474	-0.01357402	0.04993772	0.05985044	0.07229195	-0.02827178	-0.103785	0.001824915	-0.001103575	EUR
1377	NA11893	0.02615387	0.2614436	0.0009427712	0.04841599	0.05779174	0.06753042	-0.03749395	-0.1016026	-0.01132386	-0.002448457	EUR
1377	NA11894	0.007843671	0.2559386	-0.0001810005	0.03725535	0.05411557	0.0702297	-0.0377457	-0.1087626	-0.005395513	-0.00334499	EUR
1408	NA12154	0.03515674	0.2526433	-0.004904518	0.0447366	0.05317848	0.06072475	-0.0308068	-0.09985966	-0.000119301	0.006564229	EUR
1408	NA12155	0.01847783	0.2633254	0.001095024	0.03939627	0.05371045	0.06731659	-0.02790371	-0.1055695	0.002572707	0.008394353	EUR
1408	NA12156	0.02317183	0.2550301	0.001842788	0.03545711	0.06046575	0.0686897	-0.02449907	-0.09867565	0.0008842534	-0.006153024	EUR
1416	NA12249	0.02569252	0.260958	-0.005599344	0.04069181	0.04839843	0.0718695	-0.03041145	-0.1237389	-0.004245469	0.01262492	EUR
1418	NA12272	0.01260519	0.2722516	0.00163426	0.03544908	0.05328242	0.05927968	-0.02069721	-0.1012336	0.00110772	0.004960546	EUR
1418	NA12273	0.01740999	0.2634748	0.005477122	0.04277454	0.05080711	0.06968392	-0.02605677	-0.0920868	0.007178756	0.005867839	EUR
1418	NA12275	0.02178539	0.2534972	0.00938526	0.03002155	0.05350984	0.07258808	-0.04163158	-0.1059104	0.002095165	0.007534827	EUR
1420	NA12003	0.02670179	0.2567952	-0.001519327	0.03226386	0.05019456	0.06179316	-0.03702463	-0.1161032	0.01155406	0.00461979	EUR
1420	NA12004	0.002343825	0.2644125	-0.002459564	0.0445518	0.04206902	0.06448374	-0.02807448	-0.112494	0.01212078	-0.006347526	EUR
1420	NA12005	0.02036454	0.2611274	0.01632391	0.0384844	0.06398767	0.06057858	-0.02884331	-0.1069547	0.01336206	-0.01367411	EUR
