FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
0-354	0-354	-0.03309243	0.0557309	0.04043846	0.03557446	-0.01254184	-0.005626823	0.0008443768	-0.02552678	0.0003644365	-0.001313555
08782-11840	08782-11840	-0.02986927	0.271185	-0.07140101	0.08088079	-0.0231452	-0.04606133	-0.02643731	0.03412739	-0.007544793	0.01718124
1CG-002	1CG-002	0.168467	-0.148764	0.1600338	-0.03247218	0.03567199	0.0294672	0.02550592	0.001932055	-0.004899634	0.003957254
1CG-004	1CG-004	0.09634169	-0.01322247	0.07426396	0.005920574	0.01122976	0.0058251	-0.001708934	0.0381643	-0.01768648	0.01059716
1CG-005	1CG-005	0.2612904	-0.2174209	0.1967743	-0.06537665	0.05315283	0.04000398	0.02770663	0.05466447	-0.02225063	0.008126557
1CG-006	1CG-006	0.1308738	0.001531013	0.07868027	-0.005283348	0.01265991	0.005988232	0.0008133987	0.04164363	-0.01809948	0.008324281
1CG-007	1CG-007	0.2528681	-0.1892246	0.1777386	-0.05241799	0.05211927	0.03402134	0.0147406	0.0466802	-0.0160836	0.001403002
1CG-008	1CG-008	0.1457478	-0.04951502	0.1046689	-0.007946204	0.02902671	0.01304675	0.007389286	0.04911698	-0.01306452	0.003927271
1CG-009	1CG-009	0.1403666	-0.03930901	0.08482395	-0.01539717	0.02029164	0.01692252	0.005769154	0.05089989	-0.01190114	0.004640057
1CG-010	1CG-010	0.1645766	-0.1050631	0.1289334	-0.02664308	0.02810458	0.02161815	0.01782877	0.05939156	-0.01664381	0.007122173
1CG-012	1CG-012	0.06777819	0.04763848	0.0441303	0.02103392	0.004573214	-0.004509338	-0.0004939414	0.04285104	-0.01072296	0.01178422
1CG-013	1CG-013	0.1406598	-0.02869653	0.09491479	-0.006295096	0.02230323	0.01212678	0.00826989	0.05176978	-0.01657877	0.006332891
1CG-014	1CG-014	0.1768858	-0.08005603	0.1211058	-0.02277731	0.03201712	0.02039908	0.01318728	0.04775938	-0.01655068	0.008721137
1CM-001	1CM-001	0.237873	-0.1976331	0.1820031	-0.05643996	0.0480995	0.03880047	0.02281416	0.06295482	-0.01650949	0.003316001
1CM-002	1CM-002	0.1586783	-0.06122279	0.1095679	-0.0121381	0.02720153	0.01088907	0.008597934	0.0369079	-0.01851067	0.007875011
1CM-003	1CM-003	0.09558086	0.0007369689	0.06378465	0.001255523	0.01496008	0.006569515	-0.005093222	0.0464376	-0.01129742	0.008557809
1CM-004	1CM-004	0.1742039	-0.07009485	0.1147014	-0.009950816	0.02886549	0.01599884	0.007997521	0.04173343	-0.01508375	0.008924369
1CM-005	1CM-005	0.1094127	0.0207821	0.06200508	0.01108675	0.01475539	0.004423451	0.005125233	0.04368661	-0.0163487	0.007617892
1CM-008	1CM-008	0.1728281	-0.07787239	0.1134891	-0.02355547	0.02861326	0.01805325	0.008756718	0.04901554	-0.01952011	0.005940672
1CM-009	1CM-009	0.10768	0.006738631	0.06623333	0.001667136	0.01308869	0.008237618	0.003296307	0.04873312	-0.0113501	0.005325662
1CM-010	1CM-010	0.1068349	0.007120416	0.07005774	0.00510401	0.01385671	0.005080505	-0.001549122	0.01678694	-0.006456864	0.007269465
1CM-012	1CM-012	0.2099294	-0.1499609	0.1591638	-0.0437312	0.03558602	0.02943436	0.01620206	0.04180526	-0.01098687	0.002848539
1CM-013	1CM-013	0.1736667	-0.1071695	0.12794	-0.02918868	0.03484828	0.02313902	0.006346454	0.04045618	-0.009790613	0.001987602
1CM-014	1CM-014	0.2078821	-0.1460469	0.1440472	-0.03593253	0.03699898	0.0333314	0.01231043	0.04821672	-0.0127747	-0.00021261
1CM-015	1CM-015	0.2456871	-0.2009	0.1849193	-0.05554968	0.04564741	0.03641361	0.01942991	0.05828731	-0.01953987	9.778909e-05
1CM-016	1CM-016	0.1160985	-0.006495539	0.07522779	0.001455825	0.0179121	0.008928333	-0.004488629	0.04104619	-0.01850671	0.01227826
1CM-017	1CM-017	0.2239583	-0.1814035	0.1752471	-0.05125705	0.04784392	0.03725937	0.0195415	0.05977871	-0.01553192	0.002440456
1CM-018	1CM-018	0.1709297	-0.06367898	0.1131872	-0.01558605	0.02931618	0.01545201	0.006805433	0.03876676	-0.01121713	0.004946948
